Year,POS,Player,Team,Sack
2016,DEF,Dee Ford,KC,10
2016,DEF,Josh Forrest,LA,0
2016,DEF,L.J. Fort,Pit,0
2016,DEF,Mason Foster,Was,1
2016,DEF,Ramon Foster,Pit,0
2016,DEF,Dante Fowler Jr.,Jax,4
2016,DEF,Jalston Fowler,Ten,0
2016,DEF,Bennie Fowler,Den,0
2016,DEF,Morgan Fox,LA,0
2016,DEF,Orlando Franklin,SD,0
2016,DEF,Andrew Franks,Mia,0
2016,DEF,Kavon Frazier,Dal,0
2016,DEF,Travis Frederick,Dal,0
2016,DEF,Jerrell Freeman,Chi,0
2016,DEF,Dwight Freeney,Atl,3
2016,DEF,Jonathan Freeny,NE,0
2016,DEF,Nolan Frese,Sea,0
2016,DEF,Isaac Fruechte,Min,0
2016,DEF,Alani Fua,Ari,0
2016,DEF,Kendall Fuller,Was,0
2016,DEF,Will Fuller,Hou,0
2016,DEF,Devin Funchess,Car,0
2016,DEF,Andrew Gachkar,Dal,0
2016,DEF,Thomas Gafford,Den,0
2016,DEF,E.J. Gaines,LA,0
2016,DEF,Graham Gano,Car,0
2016,DEF,Max Garcia,Den,0
2016,DEF,Ben Garland,Atl,0
2016,DEF,Jimmy Garoppolo,NE,0
2016,DEF,Terence Garvin,Was,0.5
2016,DEF,Shamiel Gary,Buf,0
2016,DEF,Antonio Gates,SD,0
2016,DEF,Quentin Gause,Den,0
2016,DEF,Clayton Geathers,Ind,0
2016,DEF,William Gholston,TB,3
2016,DEF,Wallace Gilberry,Det,2.5
2016,DEF,Justin Gilbert,Pit,0
2016,DEF,Garry Gilliam,Sea,0
2016,DEF,Mike Gillislee,Buf,0
2016,DEF,Ted Ginn Jr.,Car,0
2016,DEF,Adarius Glanton,TB,0
2016,DEF,Cordy Glenn,Buf,0
2016,DEF,Jared Goff,LA,0
2016,DEF,Brittan Golden,Ari,0
2016,DEF,Markus Golden,Ari,12.5
2016,DEF,Robert Golden,Pit,0
2016,DEF,Eddie Goldman,Chi,2.5
2016,DEF,Dashon Goldson,Atl,0
2016,DEF,Kedric Golston,Was,0
2016,DEF,Najee Goode,Phi,0
2016,DEF,Zaviar Gooden,Det,0
2016,DEF,Malliciah Goodman,Atl,0
2016,DEF,B.J. Goodson,NYG,0
2016,DEF,Demetri Goodson,GB,0
2016,DEF,C.J. Goodwin,Atl,0
2016,DEF,Marquise Goodwin,Buf,0
2016,DEF,Frank Gore,Ind,0
2016,DEF,Adam Gotsis,Den,0
2016,DEF,Robbie Gould,NYG,0
2016,DEF,Brandon Graham,Phi,5.5
2016,DEF,Jimmy Graham,Sea,0
2016,DEF,Ryan Grant,Was,0
2016,DEF,Corey Grant,Jax,0
2016,DEF,Jakeem Grant,Mia,0
2016,DEF,Dwayne Gratz,Jax,0
2016,DEF,MarQueis Gray,Mia,0
2016,DEF,John Greco,Cle,0
2016,DEF,T.J. Green,Ind,0
2016,DEF,Virgil Green,Den,0
2016,DEF,Dorial Green-Beckham,Phi,0
2016,DEF,Randy Gregory,Dal,1
2016,DEF,Jermaine Gresham,Ari,0
2016,DEF,Everson Griffen,Min,8
2016,DEF,Robert Griffin III,Cle,0
2016,DEF,Michael Griffin,Car,0
2016,DEF,Ryan Griffin,Hou,0
2016,DEF,Jonathan Grimes,Hou,0
2016,DEF,Geneo Grissom,NE,0
2016,DEF,Kamu Grugier-Hill,Phi,0
2016,DEF,Letroy Guion,GB,0
2016,DEF,LaDarius Gunter,GB,0
